precision_recall_exp;precision_recall_baseline;exp_ndcg_at_3;baseline_ndcg_at_3;exp_ndcg_at_5;baseline_ndcg_at_5;baseline_ndcg_at_10;exp_ndcg_at_10;number_item_rated_by_user;precision_recall_in_k_neighborhood;precision_recall_out_k_neighborhood;precision_recall_baseline_in_k_neighborhood;precision_recall_baseline_out_k_neighborhood
0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.023633891967840402;836;0.2;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;347;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;465;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;467;0.0;0.0;0.0;0.0
0.1;0.0;0.6223486639463391;0.0;0.45075093906169933;0.0;0.0;0.3426036650601789;879;0.2;0.0;0.0;0.0
0.1;0.0;0.0;0.0;0.14175088328289714;0.0;0.0;0.10415864796738597;436;0.2;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1864;0.0;0.0;0.0;0.0
0.0;0.2;0.0;0.0;0.0;0.21264308049183028;0.25845426398515714;0.0;72;0.0;0.0;0.2;0.2
0.3;0.2;0.6284850386035526;0.0;0.6083089617841179;0.14394504504372996;0.12921136942615122;0.5349505892483114;128;0.6;0.0;0.4;0.0
0.0;0.1;0.0;0.0;0.0;0.0;0.05680543126003826;0.0;103;0.0;0.0;0.2;0.0
0.1;0.0;0.32632095831973285;0.0;0.2121228619592003;0.0;0.0;0.1464359993380696;114;0.2;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;977;0.0;0.0;0.0;0.0
0.1;0.0;0.0;0.0;0.20447932149033574;0.0;0.0;0.14651685480488008;300;0.2;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1346;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2478;0.0;0.0;0.0;0.0
0.1;0.0;0.41719747393567064;0.0;0.296252822179825;0.0;0.0;0.20801279387698596;1055;0.2;0.0;0.0;0.0
0.0;0.2;0.0;0.0;0.0;0.09239645548929183;0.1339875097098272;0.0;115;0.0;0.0;0.2;0.2
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;215;0.0;0.0;0.0;0.0
0.0;0.1;0.0;0.26703204261888647;0.0;0.195270239985563;0.14600780087798063;0.0;635;0.0;0.0;0.0;0.2
0.1;0.0;0.304582463729799;0.0;0.21627477646872126;0.0;0.0;0.17118127088600935;2698;0.2;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;213;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;437;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;181;0.0;0.0;0.0;0.0
0.0;0.1;0.0;0.0;0.0;0.0;0.08543142530402303;0.0;202;0.0;0.0;0.2;0.0
0.0;0.1;0.0;0.0;0.0;0.0;0.1351388741360814;0.0;502;0.0;0.0;0.0;0.2
0.1;0.1;0.0;0.0;0.06207205871492864;0.0;0.06266844132162452;0.051666712273670694;167;0.2;0.0;0.0;0.2
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;270;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;267;0.0;0.0;0.0;0.0
0.1;0.0;0.0;0.0;0.027646678020485774;0.0;0.0;0.022458553751355338;520;0.2;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2698;0.0;0.0;0.0;0.0
0.0;0.4;0.0;0.0;0.0;0.3917350801997494;0.40198733386628144;0.0;39;0.0;0.0;0.6;0.2
0.0;0.1;0.0;0.0;0.0;0.0;0.09911359944040202;0.0;578;0.0;0.0;0.2;0.0
0.0;0.1;0.0;0.0;0.0;0.0;0.11783953445374858;0.0;180;0.0;0.0;0.0;0.2
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;728;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;340;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1346;0.0;0.0;0.0;0.0
0.1;0.0;0.4730720324833688;0.0;0.30905049251216404;0.0;0.0;0.21029819953098022;273;0.2;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;437;0.0;0.0;0.0;0.0
0.0;0.1;0.0;0.0;0.0;0.0;0.04489070095037253;0.0;87;0.0;0.0;0.2;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;517;0.0;0.0;0.0;0.0
0.0;0.2;0.0;0.4823620573607433;0.0;0.3269095804024113;0.2806391732378331;0.0;128;0.0;0.0;0.2;0.2
0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;578;0.0;0.0;0.2;0.0
0.0;0.1;0.0;0.0;0.0;0.0;0.07237950061005877;0.0;347;0.0;0.0;0.0;0.2
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;943;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;613;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;436;0.0;0.0;0.0;0.0
0.0;0.2;0.0;0.5246882118737434;0.0;0.3466561439111182;0.25461739312891674;0.0;270;0.0;0.0;0.4;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;831;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1115;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;836;0.0;0.0;0.0;0.0
